iter	Passed	Remaining
393	53351	14353
394	53470	14213
395	53605	14078
396	53731	13940
397	53858	13802
398	53989	13666
399	54113	13528
400	54240	13390
401	54385	13258
402	54503	13118
403	54650	12986
404	54778	12849
405	54906	12712
406	55033	12575
407	55163	12438
408	55289	12301
409	55410	12163
410	55528	12024
411	55667	11890
412	55792	11752
413	55930	11618
414	56058	11481
415	56191	11346
416	56309	11207
417	56438	11071
418	56567	10935
419	56699	10799
420	56824	10663
421	56949	10526
422	57076	10389
423	57198	10252
424	57329	10117
425	57458	9980
426	57595	9846
427	57723	9710
428	57847	9573
429	57976	9437
430	58096	9300
431	58220	9164
432	58341	9027
433	58464	8890
434	58610	8757
435	58736	8621
436	58870	8487
437	59013	8353
438	59179	8223
439	59327	8090
440	59462	7955
441	59614	7822
442	59756	7688
443	59885	7553
444	60016	7417
445	60141	7281
446	60272	7146
447	60394	7010
448	60515	6873
449	60652	6739
450	60781	6603
451	60908	6468
452	61032	6332
453	61157	6196
454	61290	6061
455	61422	5926
456	61560	5792
457	61687	5656
458	61826	5522
459	61960	5387
460	62086	5252
461	62208	5116
462	62332	4981
463	62455	4845
464	62592	4711
465	62720	4576
466	62842	4440
467	62967	4305
468	63096	4170
469	63224	4035
470	63355	3900
471	63477	3765
472	63617	3631
473	63741	3496
474	63869	3361
475	64020	3227
476	64167	3094
477	64320	2960
478	64466	2826
479	64614	2692
480	64761	2558
481	64894	2423
482	65019	2288
483	65147	2153
484	65273	2018
485	65396	1883
486	65520	1749
487	65662	1614
488	65784	1479
489	65909	1345
490	66033	1210
491	66165	1075
492	66286	941
493	66409	806
494	66539	672
495	66679	537
496	66807	403
497	66938	268
498	67065	134
499	67183	0
